0,1,2
Image_Name,Aruco_Markers,ChArUco_Corners
Image 0,21,28
Image 1,25,31
Image 2,12,13
Image 3,8,5
Image 4,25,36
Image 5,10,9
Image 6,28,41
Image 7,15,18
Image 8,29,41
Image 9,26,37
Image 10,26,37
Image 11,18,23
Image 12,20,25
Image 13,4,2
Image 14,25,34
Image 15,11,14
Image 16,26,39
Image 17,9,7
Image 18,10,9
Image 19,28,37
Image 20,9,7
Image 21,4,2
Image 22,10,9
Image 23,17,22
Image 24,18,16
Image 25,8,4
Image 26,10,9
Image 27,14,16
Image 28,20,22
Image 29,10,9
Image 30,25,36
Image 31,7,4
Image 32,14,16
Image 33,13,13
Image 34,9,7
Image 35,33,50
Image 36,30,42
Image 37,32,47
Image 38,9,7
Image 39,7,4
Image 40,28,37
Image 41,20,20
Image 42,19,21
Image 43,10,8
Image 44,25,31
Image 45,16,20
Image 46,11,11
Image 47,26,37
Image 48,8,5
Image 49,10,9
Image 50,31,46
Image 51,25,33
Image 52,21,22
Image 53,5,2
Image 54,19,25
Image 55,24,34
Image 56,16,20
Image 57,26,37
Image 58,14,16
Image 59,20,27
Image 60,20,27
